address,auction_date,base_price,branch,city,energy_class,has_elevator,internal_id,lot_id,ownership_title,property_type,rooms,source_file,street_number,surface_sqm
ALZAIA NAVIGLIO PAVESE,06 Luglio 2017,118121.0,4,MILANO,G,False,,148/17,,,3,20170705084616.html,34,69.0
PIAZZALE SELINUNTE,06 Luglio 2017,43868.0,6,MILANO,G,False,,149/17,,,2,20170705084616.html,4,56.0
VIA ILLIRICO,06 Luglio 2017,45220.0,2,MILANO,G,False,A,150/17,,,1,20170705084616.html,1,35.0
VIA ILLIRICO,06 Luglio 2017,93024.0,2,MILANO,G,False,B,151/17,,,3,20170705084616.html,1,72.0
VIA ILLIRICO,06 Luglio 2017,65892.0,2,MILANO,G,False,,152/17,,,2,20170705084616.html,3,51.0
VIA ESCULAPIO,06 Luglio 2017,81344.0,3,MILANO,G,True,,153/17,,,3,20170705084616.html,4,82.0
VIA SANTUARIO DEL SACRO CUORE,06 Luglio 2017,53568.0,3,MILANO,G,True,,154/17,,,2,20170705084616.html,3,54.0
VIA ROMUALDO BONFADINI,06 Luglio 2017,58481.0,1,MILANO,G,True,,155/17,,,3,20170705084616.html,98,71.0
VIA EMANUELE KANT,06 Luglio 2017,99456.0,3,MILANO,G,True,,156/17,,,4,20170705084616.html,3,111.0
VIA GIACOMO QUARENGHI,06 Luglio 2017,68544.0,3,MILANO,G,True,,157/17,,,2,20170705084616.html,34,72.0
VIA CONCILIO VATICANO II,06 Luglio 2017,58661.0,3,MILANO,F,True,,158/17,,,2,20170705084616.html,10,71.0
VIA DEI LARICI,06 Luglio 2017,62370.0,6,MILANO,G,True,,159/17,,,2,20170705084616.html,4,66.0
VIA DEI LARICI,06 Luglio 2017,81270.0,6,MILANO,G,True,,160/17,,,3,20170705084616.html,12,86.0
VIA DEI LARICI,06 Luglio 2017,61425.0,6,MILANO,G,True,,161/17,,,2,20170705084616.html,14,65.0
VIA DEI LARICI,06 Luglio 2017,82215.0,6,MILANO,G,True,,162/17,,,3,20170705084616.html,32,87.0
VIA DEI LARICI,06 Luglio 2017,82215.0,6,MILANO,G,True,,163/17,,,3,20170705084616.html,28,87.0
VIA DELLE BETULLE,06 Luglio 2017,66150.0,6,MILANO,G,True,,164/17,,,2,20170705084616.html,5,70.0
VIA COSTANTINO BARONI,06 Luglio 2017,46267.0,4,MILANO,G,True,,165/17,,,2,20170705084616.html,63,63.0
VIA UGO BETTI,06 Luglio 2017,63784.0,3,MILANO,E,True,,166/17,,,2,20170705084616.html,191,67.0
VIA UGO BETTI,06 Luglio 2017,97664.0,3,MILANO,E,True,,167/17,,,4,20170705084616.html,173,109.0
VIA UGO BETTI,06 Luglio 2017,81536.0,3,MILANO,E,True,,168/17,,,3,20170705084616.html,167,91.0
VIA UGO BETTI,06 Luglio 2017,95872.0,3,MILANO,G,True,,169/17,,,4,20170705084616.html,43,107.0
VIA UGO BETTI,06 Luglio 2017,77952.0,3,MILANO,G,True,,170/17,,,3,20170705084616.html,141,87.0
VIA UGO BETTI,06 Luglio 2017,63784.0,3,MILANO,G,True,,171/17,,,2,20170705084616.html,55,67.0
VIA UGO OJETTI,06 Luglio 2017,79968.0,3,MILANO,G,True,,172/17,,,3,20170705084616.html,3,84.0
VIA ALESSANDRO LITTA MODIGNANI,06 Luglio 2017,89280.0,3,MILANO,G,True,,173/17,,,4,20170705084616.html,93,100.0
VIA FILIPPO DE PISIS,06 Luglio 2017,65772.0,3,MILANO,G,True,,174/17,,,3,20170705084616.html,47,75.0
VIA ENRICO FALCK,06 Luglio 2017,63784.0,3,MILANO,G,True,,175/17,,,2,20170705084616.html,9,67.0
VIA ENRICO FALCK,06 Luglio 2017,80920.0,3,MILANO,G,True,,176/17,,,3,20170705084616.html,21,85.0
VIA APPENNINI,06 Luglio 2017,67592.0,3,MILANO,G,True,,177/17,,,2,20170705084616.html,41,71.0
VIA FRANCESCO CILEA,06 Luglio 2017,73304.0,3,MILANO,F,True,,178/17,,,2,20170705084616.html,152,77.0
